yearID,teamID,W,L,R,AB,H,2B,3B,HR,BB,SO,RA,ERA,HA,HRA,E
2018,ARI,82,80,693,5460,1283,259,50,176,560,1460,644,3.72,1313,174,75
2018,ATL,90,72,759,5582,1433,314,29,175,511,1290,657,3.75,1236,153,80
2018,BAL,47,115,622,5507,1317,242,15,188,422,1412,892,5.18,1552,234,104
2018,BOS,108,54,876,5623,1509,355,31,208,569,1253,647,3.75,1305,176,77
2018,CHA,62,100,656,5523,1332,259,40,182,425,1594,848,4.84,1405,196,114
2018,CHN,95,68,761,5624,1453,286,34,167,576,1388,645,3.65,1319,157,104
2018,CIN,67,95,696,5532,1404,251,25,172,559,1376,819,4.63,1491,228,95
2018,CLE,91,71,818,5595,1447,297,19,216,554,1189,648,3.77,1349,200,83
2018,COL,91,72,780,5541,1418,280,42,210,507,1397,745,4.33,1378,184,74
2018,DET,64,98,630,5494,1326,284,35,135,428,1341,796,4.58,1423,216,95
2018,HOU,103,59,797,5453,1390,278,18,205,565,1197,534,3.11,1164,152,63
2018,KCA,58,104,638,5505,1350,283,29,155,427,1310,833,4.94,1542,205,77
2018,LAA,80,82,721,5472,1323,249,23,214,514,1300,722,4.15,1353,205,76
2018,LAN,92,71,804,5572,1394,296,33,235,647,1436,610,3.38,1279,179,100
2018,MIA,63,98,589,5488,1303,222,24,128,455,1384,809,4.76,1388,192,83
2018,MIL,96,67,754,5542,1398,252,24,218,537,1458,659,3.73,1259,173,108
2018,MIN,78,84,738,5526,1380,318,22,166,534,1328,775,4.5,1425,198,97
2018,NYA,100,62,851,5515,1374,269,23,267,625,1421,669,3.78,1311,177,94
2018,NYN,77,85,676,5468,1282,265,34,170,566,1404,707,4.07,1364,185,88
2018,OAK,97,65,813,5579,1407,322,20,227,550,1381,674,3.81,1303,184,89
2018,PHI,80,82,677,5424,1271,241,30,186,582,1520,728,4.14,1366,171,123
2018,PIT,82,79,692,5447,1381,290,38,157,474,1229,693,4,1380,174,105
2018,SDN,66,96,617,5486,1289,250,30,162,471,1523,767,4.4,1430,185,100
2018,SEA,89,73,677,5513,1402,256,32,176,430,1221,711,4.13,1396,195,88
2018,SFN,73,89,603,5541,1324,255,30,133,448,1467,699,3.95,1387,156,97
2018,SLN,88,74,759,5498,1369,248,9,205,525,1380,691,3.85,1354,144,133
2018,TBA,90,72,716,5475,1415,274,43,150,540,1388,646,3.74,1236,164,85
2018,TEX,67,95,737,5453,1308,266,24,194,555,1484,848,4.92,1516,222,120
2018,TOR,73,89,709,5477,1336,320,16,217,499,1387,832,4.85,1476,208,101
2018,WAS,82,80,771,5517,1402,284,25,191,631,1289,682,4.04,1320,198,64
